run_id,status,stage_id,model_id,arm_id,narrative_id,environment_seed,scientific_eligible,artifact_kind,metric_path,metric_value_json
finevo-pilot-v2.3--capability-gate--gpt52_main--capability-probe--none--provider-preflight-default--s2010922376,complete,capability-gate,gpt52_main,capability-probe,none,2010922376,False,terminal-summary,,null
finevo-pilot-v2.3--capability-gate--llama33_local_controlled--capability-probe--none--provider-preflight-default--s2010922376,complete,capability-gate,llama33_local_controlled,capability-probe,none,2010922376,False,terminal-summary,,null
finevo-pilot-v2.3--closed-loop-preflight--gpt52_main--closed-loop-preflight--none--provider-preflight-default--s2010922376,complete,closed-loop-preflight,gpt52_main,closed-loop-preflight,none,2010922376,False,terminal-summary,,null
finevo-pilot-v2.3--closed-loop-preflight--llama33_local_controlled--closed-loop-preflight--none--provider-preflight-default--s2010922376,complete,closed-loop-preflight,llama33_local_controlled,closed-loop-preflight,none,2010922376,False,terminal-summary,,null
finevo-pilot-v2.3--secondary-capability-gate--gpt56_diagnostic--capability-probe--none--provider-preflight-default--s2010922376,complete,secondary-capability-gate,gpt56_diagnostic,capability-probe,none,2010922376,False,terminal-summary,,null
finevo-pilot-v2.3--secondary-capability-gate--gemini35_flash_diagnostic--capability-probe--none--provider-preflight-default--s2010922376,complete,secondary-capability-gate,gemini35_flash_diagnostic,capability-probe,none,2010922376,False,terminal-summary,,null
finevo-pilot-v2.3--secondary-capability-gate--llama4_maverick_diagnostic--capability-probe--none--provider-preflight-default--s2010922376,capability-no-go,secondary-capability-gate,llama4_maverick_diagnostic,capability-probe,none,2010922376,False,terminal-summary,,null
finevo-pilot-v2.3--secondary-closed-loop-preflight--gpt56_diagnostic--closed-loop-preflight--none--provider-preflight-default--s2010922376,complete,secondary-closed-loop-preflight,gpt56_diagnostic,closed-loop-preflight,none,2010922376,False,terminal-summary,,null
finevo-pilot-v2.3--secondary-closed-loop-preflight--gemini35_flash_diagnostic--closed-loop-preflight--none--provider-preflight-default--s2010922376,failed,secondary-closed-loop-preflight,gemini35_flash_diagnostic,closed-loop-preflight,none,2010922376,False,,,null
finevo-pilot-v2.3--secondary-closed-loop-preflight--llama4_maverick_diagnostic--closed-loop-preflight--none--provider-preflight-default--s2010922376,capability-no-go,secondary-closed-loop-preflight,llama4_maverick_diagnostic,closed-loop-preflight,none,2010922376,False,,,null
finevo-pilot-v2.3--q-ref-resolution--qref_scripted--qref-scripted--none--provider-preflight-default--s2010922376,complete,q-ref-resolution,qref_scripted,qref-scripted,none,2010922376,False,terminal-summary,,null
