run_id,model,seed,agent_id,rule_id,month,event_type,observed_condition,condition_schema_match,observed_strategy,expected_strategy,strategy_match,confidence_observed,confidence_expected,confidence_match,confidence_direction,cumulative_source_reference_count,new_source_reference_count,new_source_episode_ids,new_source_missing_count,new_source_future_count,new_source_condition_mismatch_count,new_source_reused_reference_count,new_source_mean_wealth_change,inferred_update_success,support_status,validity_note_observed,rationale_present,coded_category_present
E1:gpt-4o:E1_finevo:seed13,openai/gpt-4o,13,0,high_inflation_strategy,62,create,inflation is high (>3%),true,reduce consumption to 20%,reduce consumption to 20%,true,0.5,0.5,true,initial,3,3,E60;E61;E62,0,0,0,0,-1295.9552491478219,false,verified_supported,supported_by_episode,false,false
E1:gpt-4o:E1_finevo:seed13,openai/gpt-4o,13,0,high_inflation_strategy,65,merge_update,inflation is high (>3%),true,maintain consumption around 4%,maintain consumption around 4%,true,0.5,0.5,true,unchanged,9,6,E60;E61;E62;E63;E64;E65,0,0,0,3,561.5045163324781,true,verified_supported,supported_by_episode,false,false
E1:gpt-4o:E1_finevo:seed13,openai/gpt-4o,13,0,high_inflation_strategy,68,merge_update,inflation is high (>3%),true,maintain consumption around 3%,maintain consumption around 3%,true,0.6666666666666666,0.6666666666666666,true,increase,15,6,E63;E64;E65;E66;E67;E68,0,0,0,3,2518.005076367692,true,verified_supported,supported_by_episode,false,false
E1:gpt-4o:E1_finevo:seed13,openai/gpt-4o,13,0,high_inflation_strategy,71,merge_update,inflation is high (>3%),true,maintain consumption around 3%,maintain consumption around 3%,true,0.75,0.75,true,increase,21,6,E66;E67;E68;E69;E70;E71,0,0,0,3,2701.555191682734,true,verified_supported,supported_by_episode,false,false
E1:gpt-4o:E1_finevo:seed13,openai/gpt-4o,13,0,high_inflation_strategy,74,merge_update,inflation is high (>3%),true,maintain consumption around 3%,maintain consumption around 3%,true,0.8,0.8,true,increase,27,6,E69;E70;E71;E72;E73;E74,0,0,0,3,3316.868364201313,true,verified_supported,supported_by_episode,false,false
E1:gpt-4o:E1_finevo:seed13,openai/gpt-4o,13,0,high_inflation_strategy,77,merge_update,inflation is high (>3%),true,maintain consumption around 3%,maintain consumption around 3%,true,0.8333333333333334,0.8333333333333334,true,increase,33,6,E72;E73;E74;E75;E76;E77,0,0,0,3,3216.25595846255,true,verified_supported,supported_by_episode,false,false
E1:gpt-4o:E1_finevo:seed13,openai/gpt-4o,13,0,high_inflation_strategy,80,merge_update,inflation is high (>3%),true,maintain consumption around 3%,maintain consumption around 3%,true,0.8571428571428571,0.8571428571428571,true,increase,39,6,E75;E76;E77;E78;E79;E80,0,0,0,3,2656.0084764014923,true,verified_supported,supported_by_episode,false,false
E1:gpt-4o:E1_finevo:seed13,openai/gpt-4o,13,0,high_inflation_strategy,83,merge_update,inflation is high (>3%),true,maintain consumption around 3%,maintain consumption around 3%,true,0.875,0.875,true,increase,45,6,E78;E79;E80;E81;E82;E83,0,0,0,3,2787.6790150861416,true,verified_supported,supported_by_episode,false,false
E1:gpt-4o:E1_finevo:seed13,openai/gpt-4o,13,0,high_inflation_strategy,86,merge_update,inflation is high (>3%),true,maintain consumption around 3%,maintain consumption around 3%,true,0.8888888888888888,0.8888888888888888,true,increase,51,6,E81;E82;E83;E84;E85;E86,0,0,0,3,7904.118745113042,true,verified_supported,supported_by_episode,false,false
E1:gpt-4o:E1_finevo:seed13,openai/gpt-4o,13,0,high_inflation_strategy,89,merge_update,inflation is high (>3%),true,maintain consumption around 3%,maintain consumption around 3%,true,0.9,0.9,true,increase,57,6,E84;E85;E86;E87;E88;E89,0,0,0,3,8419.229517620335,true,verified_supported,supported_by_episode,false,false
E1:gpt-4o:E1_finevo:seed13,openai/gpt-4o,13,0,high_inflation_strategy,92,merge_update,inflation is high (>3%),true,maintain consumption around 3%,maintain consumption around 3%,true,0.9090909090909091,0.9090909090909091,true,increase,63,6,E87;E88;E89;E90;E91;E92,0,0,0,3,2943.4935218858786,true,verified_supported,supported_by_episode,false,false
E1:gpt-4o:E1_finevo:seed13,openai/gpt-4o,13,0,high_inflation_strategy,95,merge_update,inflation is high (>3%),true,maintain consumption around 3%,maintain consumption around 3%,true,0.9166666666666666,0.9166666666666666,true,increase,69,6,E90;E91;E92;E93;E94;E95,0,0,0,3,2044.142671116492,true,verified_supported,supported_by_episode,false,false
